dataset,sample,task,pipeline,score
tts50,describe_bakery,keywords,D_qwen_direct,0.23539094650205764
tts50,describe_bakery,intent,D_qwen_direct,1.0
tts50,describe_bamboo,summarization,A_oracle,0.427
tts50,describe_bamboo,sentiment,A_oracle,0.0
tts50,describe_bamboo,keywords,A_oracle,0.0
tts50,describe_bamboo,intent,A_oracle,1.0
tts50,describe_bamboo,summarization,B_whisper_cascade,0.442
tts50,describe_bamboo,sentiment,B_whisper_cascade,0.0
tts50,describe_bamboo,keywords,B_whisper_cascade,0.0
tts50,describe_bamboo,intent,B_whisper_cascade,1.0
tts50,describe_bamboo,summarization,C_qwen_transcript,0.568
tts50,describe_bamboo,sentiment,C_qwen_transcript,0.0
tts50,describe_bamboo,keywords,C_qwen_transcript,0.470442842430484
tts50,describe_bamboo,intent,C_qwen_transcript,1.0
tts50,describe_bamboo,summarization,D_qwen_direct,0.42
tts50,describe_bamboo,sentiment,D_qwen_direct,0.0
tts50,describe_bamboo,keywords,D_qwen_direct,0.23539094650205764
tts50,describe_bamboo,intent,D_qwen_direct,1.0
tts50,describe_grandcanyon,summarization,A_oracle,0.4
tts50,describe_grandcanyon,sentiment,A_oracle,0.0
tts50,describe_grandcanyon,keywords,A_oracle,0.5000937207122774
tts50,describe_grandcanyon,intent,A_oracle,1.0
tts50,describe_grandcanyon,summarization,B_whisper_cascade,0.259
tts50,describe_grandcanyon,sentiment,B_whisper_cascade,0.0
tts50,describe_grandcanyon,keywords,B_whisper_cascade,0.5000937207122774
tts50,describe_grandcanyon,intent,B_whisper_cascade,1.0
tts50,describe_grandcanyon,summarization,C_qwen_transcript,0.453
tts50,describe_grandcanyon,sentiment,C_qwen_transcript,0.0
tts50,describe_grandcanyon,keywords,C_qwen_transcript,0.37499999999999994
tts50,describe_grandcanyon,intent,C_qwen_transcript,1.0
tts50,describe_grandcanyon,summarization,D_qwen_direct,0.243
tts50,describe_grandcanyon,sentiment,D_qwen_direct,0.0
tts50,describe_grandcanyon,keywords,D_qwen_direct,0.37499999999999994
tts50,describe_grandcanyon,intent,D_qwen_direct,1.0
tts50,describe_mango,summarization,A_oracle,0.242
tts50,describe_mango,sentiment,A_oracle,1.0
tts50,describe_mango,keywords,A_oracle,0.0
tts50,describe_mango,intent,A_oracle,1.0
tts50,describe_mango,summarization,B_whisper_cascade,0.242
tts50,describe_mango,sentiment,B_whisper_cascade,1.0
tts50,describe_mango,keywords,B_whisper_cascade,0.0
tts50,describe_mango,intent,B_whisper_cascade,1.0
tts50,describe_mango,summarization,C_qwen_transcript,0.465
tts50,describe_mango,sentiment,C_qwen_transcript,1.0
tts50,describe_mango,keywords,C_qwen_transcript,0.0
tts50,describe_mango,intent,C_qwen_transcript,1.0
tts50,describe_mango,summarization,D_qwen_direct,0.359
tts50,describe_mango,sentiment,D_qwen_direct,1.0
tts50,describe_mango,keywords,D_qwen_direct,0.0
tts50,describe_mango,intent,D_qwen_direct,1.0
tts50,describe_olivetree,summarization,A_oracle,0.385
tts50,describe_olivetree,sentiment,A_oracle,1.0
tts50,describe_olivetree,keywords,A_oracle,0.11769547325102882
tts50,describe_olivetree,intent,A_oracle,1.0
tts50,describe_olivetree,summarization,B_whisper_cascade,0.39
tts50,describe_olivetree,sentiment,B_whisper_cascade,1.0
tts50,describe_olivetree,keywords,B_whisper_cascade,0.11769547325102882
tts50,describe_olivetree,intent,B_whisper_cascade,1.0
tts50,describe_olivetree,summarization,C_qwen_transcript,0.421
tts50,describe_olivetree,sentiment,C_qwen_transcript,1.0
tts50,describe_olivetree,keywords,C_qwen_transcript,0.11769547325102882
tts50,describe_olivetree,intent,C_qwen_transcript,1.0
tts50,describe_olivetree,summarization,D_qwen_direct,0.273
tts50,describe_olivetree,sentiment,D_qwen_direct,1.0
tts50,describe_olivetree,keywords,D_qwen_direct,0.11769547325102882
tts50,describe_olivetree,intent,D_qwen_direct,1.0
tts50,describe_thunderstorm,summarization,A_oracle,0.295
tts50,describe_thunderstorm,sentiment,A_oracle,1.0
tts50,describe_thunderstorm,keywords,A_oracle,0.470442842430484
tts50,describe_thunderstorm,intent,A_oracle,1.0
tts50,describe_thunderstorm,summarization,B_whisper_cascade,0.348
tts50,describe_thunderstorm,sentiment,B_whisper_cascade,1.0
tts50,describe_thunderstorm,keywords,B_whisper_cascade,0.470442842430484
tts50,describe_thunderstorm,intent,B_whisper_cascade,1.0
tts50,describe_thunderstorm,summarization,C_qwen_transcript,0.333
tts50,describe_thunderstorm,sentiment,C_qwen_transcript,1.0
tts50,describe_thunderstorm,keywords,C_qwen_transcript,0.470442842430484
tts50,describe_thunderstorm,intent,C_qwen_transcript,1.0
tts50,describe_thunderstorm,summarization,D_qwen_direct,0.208
tts50,describe_thunderstorm,sentiment,D_qwen_direct,1.0
tts50,describe_thunderstorm,keywords,D_qwen_direct,0.470442842430484
tts50,describe_thunderstorm,intent,D_qwen_direct,1.0
tts50,describe_travel,summarization,A_oracle,0.493
tts50,describe_travel,sentiment,A_oracle,1.0
tts50,describe_travel,keywords,A_oracle,0.37499999999999994
tts50,describe_travel,intent,A_oracle,1.0
tts50,describe_travel,summarization,B_whisper_cascade,0.581
tts50,describe_travel,sentiment,B_whisper_cascade,1.0
tts50,describe_travel,keywords,B_whisper_cascade,0.37499999999999994
tts50,describe_travel,intent,B_whisper_cascade,1.0
tts50,describe_travel,summarization,C_qwen_transcript,0.621
tts50,describe_travel,sentiment,C_qwen_transcript,1.0
tts50,describe_travel,keywords,C_qwen_transcript,0.37499999999999994
tts50,describe_travel,intent,C_qwen_transcript,1.0
tts50,describe_travel,summarization,D_qwen_direct,0.426
tts50,describe_travel,sentiment,D_qwen_direct,1.0
tts50,describe_travel,keywords,D_qwen_direct,0.37499999999999994
tts50,describe_travel,intent,D_qwen_direct,0.0
tts50,entertain_adulthood,summarization,A_oracle,0.205
tts50,entertain_adulthood,sentiment,A_oracle,0.0
tts50,entertain_adulthood,keywords,A_oracle,0.28559176672384223
tts50,entertain_adulthood,intent,A_oracle,1.0
tts50,entertain_adulthood,summarization,B_whisper_cascade,0.139
tts50,entertain_adulthood,sentiment,B_whisper_cascade,0.0
tts50,entertain_adulthood,keywords,B_whisper_cascade,0.28559176672384223
tts50,entertain_adulthood,intent,B_whisper_cascade,1.0
tts50,entertain_adulthood,summarization,C_qwen_transcript,0.237
tts50,entertain_adulthood,sentiment,C_qwen_transcript,0.0
tts50,entertain_adulthood,keywords,C_qwen_transcript,0.28559176672384223
tts50,entertain_adulthood,intent,C_qwen_transcript,1.0
tts50,entertain_adulthood,summarization,D_qwen_direct,0.141
tts50,entertain_adulthood,sentiment,D_qwen_direct,1.0
tts50,entertain_adulthood,keywords,D_qwen_direct,0.249906191369606
tts50,entertain_adulthood,intent,D_qwen_direct,0.0
tts50,entertain_autocorrect,summarization,A_oracle,0.246
tts50,entertain_autocorrect,sentiment,A_oracle,1.0
tts50,entertain_autocorrect,keywords,A_oracle,0.249906191369606
tts50,entertain_autocorrect,intent,A_oracle,1.0
tts50,entertain_autocorrect,summarization,B_whisper_cascade,0.222
tts50,entertain_autocorrect,sentiment,B_whisper_cascade,1.0
tts50,entertain_autocorrect,keywords,B_whisper_cascade,0.249906191369606
tts50,entertain_autocorrect,intent,B_whisper_cascade,1.0
tts50,entertain_autocorrect,summarization,C_qwen_transcript,0.348
tts50,entertain_autocorrect,sentiment,C_qwen_transcript,1.0
tts50,entertain_autocorrect,keywords,C_qwen_transcript,0.0
tts50,entertain_autocorrect,intent,C_qwen_transcript,1.0
tts50,entertain_autocorrect,summarization,D_qwen_direct,0.238
tts50,entertain_autocorrect,sentiment,D_qwen_direct,1.0
tts50,entertain_autocorrect,keywords,D_qwen_direct,0.13335971223021584
tts50,entertain_autocorrect,intent,D_qwen_direct,0.0
tts50,entertain_cats,summarization,A_oracle,0.286
tts50,entertain_cats,sentiment,A_oracle,0.0
tts50,entertain_cats,keywords,A_oracle,0.3997599039615847
tts50,entertain_cats,intent,A_oracle,1.0
tts50,entertain_cats,summarization,B_whisper_cascade,0.303
tts50,entertain_cats,sentiment,B_whisper_cascade,0.0
tts50,entertain_cats,keywords,B_whisper_cascade,0.37499999999999994
tts50,entertain_cats,intent,B_whisper_cascade,1.0
tts50,entertain_cats,summarization,C_qwen_transcript,0.185
tts50,entertain_cats,sentiment,C_qwen_transcript,0.0
tts50,entertain_cats,keywords,C_qwen_transcript,0.37499999999999994
tts50,entertain_cats,intent,C_qwen_transcript,1.0
tts50,entertain_cats,summarization,D_qwen_direct,0.282
tts50,entertain_cats,sentiment,D_qwen_direct,1.0
tts50,entertain_cats,keywords,D_qwen_direct,0.37499999999999994
tts50,entertain_cats,intent,D_qwen_direct,1.0
tts50,entertain_fitness,summarization,A_oracle,0.281
tts50,entertain_fitness,sentiment,A_oracle,1.0
tts50,entertain_fitness,keywords,A_oracle,0.42857142857142855
tts50,entertain_fitness,intent,A_oracle,1.0
tts50,entertain_fitness,summarization,B_whisper_cascade,0.254
tts50,entertain_fitness,sentiment,B_whisper_cascade,1.0
tts50,entertain_fitness,keywords,B_whisper_cascade,0.249906191369606
tts50,entertain_fitness,intent,B_whisper_cascade,1.0
tts50,entertain_fitness,summarization,C_qwen_transcript,0.319
tts50,entertain_fitness,sentiment,C_qwen_transcript,1.0
tts50,entertain_fitness,keywords,C_qwen_transcript,0.13335971223021584
tts50,entertain_fitness,intent,C_qwen_transcript,1.0
tts50,entertain_fitness,summarization,D_qwen_direct,0.171
tts50,entertain_fitness,sentiment,D_qwen_direct,1.0
tts50,entertain_fitness,keywords,D_qwen_direct,0.13335971223021584
tts50,entertain_fitness,intent,D_qwen_direct,1.0
tts50,entertain_flambe,summarization,A_oracle,0.366
tts50,entertain_flambe,sentiment,A_oracle,1.0
tts50,entertain_flambe,keywords,A_oracle,0.249906191369606
tts50,entertain_flambe,intent,A_oracle,1.0
tts50,entertain_flambe,summarization,B_whisper_cascade,0.366
tts50,entertain_flambe,sentiment,B_whisper_cascade,1.0
tts50,entertain_flambe,keywords,B_whisper_cascade,0.37499999999999994
tts50,entertain_flambe,intent,B_whisper_cascade,1.0
tts50,entertain_flambe,summarization,C_qwen_transcript,0.361
tts50,entertain_flambe,sentiment,C_qwen_transcript,1.0
tts50,entertain_flambe,keywords,C_qwen_transcript,0.0
tts50,entertain_flambe,intent,C_qwen_transcript,1.0
tts50,entertain_flambe,summarization,D_qwen_direct,0.286
tts50,entertain_flambe,sentiment,D_qwen_direct,1.0
tts50,entertain_flambe,keywords,D_qwen_direct,0.13335971223021584
tts50,entertain_flambe,intent,D_qwen_direct,1.0
tts50,entertain_grandma,summarization,A_oracle,0.306
tts50,entertain_grandma,sentiment,A_oracle,1.0
tts50,entertain_grandma,keywords,A_oracle,0.6249062265566392
tts50,entertain_grandma,intent,A_oracle,1.0
tts50,entertain_grandma,summarization,B_whisper_cascade,0.333
tts50,entertain_grandma,sentiment,B_whisper_cascade,1.0
tts50,entertain_grandma,keywords,B_whisper_cascade,0.6668797696184305
tts50,entertain_grandma,intent,B_whisper_cascade,1.0
tts50,entertain_grandma,summarization,C_qwen_transcript,0.306
tts50,entertain_grandma,sentiment,C_qwen_transcript,1.0
tts50,entertain_grandma,keywords,C_qwen_transcript,0.5000937207122774
tts50,entertain_grandma,intent,C_qwen_transcript,1.0
tts50,entertain_grandma,summarization,D_qwen_direct,0.556
tts50,entertain_grandma,sentiment,D_qwen_direct,0.0
tts50,entertain_grandma,keywords,D_qwen_direct,0.5000937207122774
tts50,entertain_grandma,intent,D_qwen_direct,1.0
tts50,entertain_ikea,summarization,A_oracle,0.265
tts50,entertain_ikea,sentiment,A_oracle,0.0
tts50,entertain_ikea,keywords,A_oracle,0.0
tts50,entertain_ikea,intent,A_oracle,1.0
tts50,entertain_ikea,summarization,B_whisper_cascade,0.286
tts50,entertain_ikea,sentiment,B_whisper_cascade,0.0
tts50,entertain_ikea,keywords,B_whisper_cascade,0.0
tts50,entertain_ikea,intent,B_whisper_cascade,1.0
tts50,entertain_ikea,summarization,C_qwen_transcript,0.265
tts50,entertain_ikea,sentiment,C_qwen_transcript,0.0
tts50,entertain_ikea,keywords,C_qwen_transcript,0.0
tts50,entertain_ikea,intent,C_qwen_transcript,1.0
tts50,entertain_ikea,summarization,D_qwen_direct,0.211
tts50,entertain_ikea,sentiment,D_qwen_direct,0.0
tts50,entertain_ikea,keywords,D_qwen_direct,0.1429794520547945
tts50,entertain_ikea,intent,D_qwen_direct,1.0
tts50,entertain_parking,summarization,A_oracle,0.257
tts50,entertain_parking,sentiment,A_oracle,0.0
tts50,entertain_parking,keywords,A_oracle,0.167
tts50,entertain_parking,intent,A_oracle,1.0
tts50,entertain_parking,summarization,B_whisper_cascade,0.22
tts50,entertain_parking,sentiment,B_whisper_cascade,0.0
tts50,entertain_parking,keywords,B_whisper_cascade,0.167
tts50,entertain_parking,intent,B_whisper_cascade,1.0
tts50,entertain_parking,summarization,C_qwen_transcript,0.205
tts50,entertain_parking,sentiment,C_qwen_transcript,0.0
tts50,entertain_parking,keywords,C_qwen_transcript,0.1429794520547945
tts50,entertain_parking,intent,C_qwen_transcript,1.0
tts50,entertain_parking,summarization,D_qwen_direct,0.444
tts50,entertain_parking,sentiment,D_qwen_direct,0.0
tts50,entertain_parking,keywords,D_qwen_direct,0.13335971223021584
tts50,entertain_parking,intent,D_qwen_direct,1.0
tts50,language_acquisition,summarization,A_oracle,0.441
tts50,language_acquisition,sentiment,A_oracle,1.0
tts50,language_acquisition,keywords,A_oracle,0.5331465919701214
tts50,language_acquisition,intent,A_oracle,1.0
tts50,language_acquisition,summarization,B_whisper_cascade,0.312
tts50,language_acquisition,sentiment,B_whisper_cascade,1.0
tts50,language_acquisition,keywords,B_whisper_cascade,0.5331465919701214
tts50,language_acquisition,intent,B_whisper_cascade,1.0
tts50,language_acquisition,summarization,C_qwen_transcript,0.393
tts50,language_acquisition,sentiment,C_qwen_transcript,0.0
tts50,language_acquisition,keywords,C_qwen_transcript,0.40018656716417905
tts50,language_acquisition,intent,C_qwen_transcript,1.0
tts50,language_acquisition,summarization,D_qwen_direct,0.444
tts50,language_acquisition,sentiment,D_qwen_direct,1.0
tts50,language_acquisition,keywords,D_qwen_direct,0.286
tts50,language_acquisition,intent,D_qwen_direct,1.0
tts50,memory_formation,summarization,A_oracle,0.282
tts50,memory_formation,sentiment,A_oracle,1.0
tts50,memory_formation,keywords,A_oracle,0.26679104477611937
tts50,memory_formation,intent,A_oracle,1.0
tts50,memory_formation,summarization,B_whisper_cascade,0.299
tts50,memory_formation,sentiment,B_whisper_cascade,1.0
tts50,memory_formation,keywords,B_whisper_cascade,0.26679104477611937
tts50,memory_formation,intent,B_whisper_cascade,1.0
tts50,memory_formation,summarization,C_qwen_transcript,0.277
tts50,memory_formation,sentiment,C_qwen_transcript,1.0
tts50,memory_formation,keywords,C_qwen_transcript,0.23539094650205764
tts50,memory_formation,intent,C_qwen_transcript,1.0
tts50,memory_formation,summarization,D_qwen_direct,0.258
tts50,memory_formation,sentiment,D_qwen_direct,1.0
tts50,memory_formation,keywords,D_qwen_direct,0.35308641975308636
tts50,memory_formation,intent,D_qwen_direct,1.0
tts50,microbiome,summarization,A_oracle,0.361
tts50,microbiome,sentiment,A_oracle,0.0
tts50,microbiome,keywords,A_oracle,0.7058339052848319
tts50,microbiome,intent,A_oracle,1.0
tts50,microbiome,summarization,B_whisper_cascade,0.328
tts50,microbiome,sentiment,B_whisper_cascade,0.0
tts50,microbiome,keywords,B_whisper_cascade,0.7058339052848319
tts50,microbiome,intent,B_whisper_cascade,1.0
tts50,microbiome,summarization,C_qwen_transcript,0.328
tts50,microbiome,sentiment,C_qwen_transcript,0.0
tts50,microbiome,keywords,C_qwen_transcript,0.6251716535433071
tts50,microbiome,intent,C_qwen_transcript,1.0
tts50,microbiome,summarization,D_qwen_direct,0.54
tts50,microbiome,sentiment,D_qwen_direct,0.0
tts50,microbiome,keywords,D_qwen_direct,0.6251716535433071
tts50,microbiome,intent,D_qwen_direct,1.0
tts50,nuclear_fusion,summarization,A_oracle,0.281
tts50,nuclear_fusion,sentiment,A_oracle,1.0
tts50,nuclear_fusion,keywords,A_oracle,0.5331465919701214
tts50,nuclear_fusion,intent,A_oracle,1.0
tts50,nuclear_fusion,summarization,B_whisper_cascade,0.293
tts50,nuclear_fusion,sentiment,B_whisper_cascade,1.0
tts50,nuclear_fusion,keywords,B_whisper_cascade,0.5331465919701214
tts50,nuclear_fusion,intent,B_whisper_cascade,1.0
tts50,nuclear_fusion,summarization,C_qwen_transcript,0.348
tts50,nuclear_fusion,sentiment,C_qwen_transcript,0.0
tts50,nuclear_fusion,keywords,C_qwen_transcript,0.5331465919701214
tts50,nuclear_fusion,intent,C_qwen_transcript,1.0
tts50,nuclear_fusion,summarization,D_qwen_direct,0.25
tts50,nuclear_fusion,sentiment,D_qwen_direct,1.0
tts50,nuclear_fusion,keywords,D_qwen_direct,0.429
tts50,nuclear_fusion,intent,D_qwen_direct,1.0
tts50,ocean_currents,summarization,A_oracle,0.375
tts50,ocean_currents,sentiment,A_oracle,1.0
tts50,ocean_currents,keywords,A_oracle,0.4617868675995694
tts50,ocean_currents,intent,A_oracle,1.0
tts50,ocean_currents,summarization,B_whisper_cascade,0.375
tts50,ocean_currents,sentiment,B_whisper_cascade,1.0
tts50,ocean_currents,keywords,B_whisper_cascade,0.4617868675995694
tts50,ocean_currents,intent,B_whisper_cascade,1.0
tts50,ocean_currents,summarization,C_qwen_transcript,0.339
tts50,ocean_currents,sentiment,C_qwen_transcript,1.0
tts50,ocean_currents,keywords,C_qwen_transcript,0.3997599039615847
tts50,ocean_currents,intent,C_qwen_transcript,1.0
tts50,ocean_currents,summarization,D_qwen_direct,0.369
tts50,ocean_currents,sentiment,D_qwen_direct,1.0
tts50,ocean_currents,keywords,D_qwen_direct,0.5715509854327335
tts50,ocean_currents,intent,D_qwen_direct,1.0
tts50,persuade_cooking,summarization,A_oracle,0.27
tts50,persuade_cooking,sentiment,A_oracle,1.0
tts50,persuade_cooking,keywords,A_oracle,0.3997599039615847
tts50,persuade_cooking,intent,A_oracle,1.0
tts50,persuade_cooking,summarization,B_whisper_cascade,0.219
tts50,persuade_cooking,sentiment,B_whisper_cascade,1.0
tts50,persuade_cooking,keywords,B_whisper_cascade,0.3997599039615847
tts50,persuade_cooking,intent,B_whisper_cascade,1.0
tts50,persuade_cooking,summarization,C_qwen_transcript,0.301
tts50,persuade_cooking,sentiment,C_qwen_transcript,1.0
tts50,persuade_cooking,keywords,C_qwen_transcript,0.3997599039615847
tts50,persuade_cooking,intent,C_qwen_transcript,1.0
tts50,persuade_cooking,summarization,D_qwen_direct,0.393
tts50,persuade_cooking,sentiment,D_qwen_direct,1.0
tts50,persuade_cooking,keywords,D_qwen_direct,0.37499999999999994
tts50,persuade_cooking,intent,D_qwen_direct,1.0
tts50,persuade_fiction,summarization,A_oracle,0.333
tts50,persuade_fiction,sentiment,A_oracle,1.0
tts50,persuade_fiction,keywords,A_oracle,0.28559176672384223
tts50,persuade_fiction,intent,A_oracle,1.0
tts50,persuade_fiction,summarization,B_whisper_cascade,0.206
tts50,persuade_fiction,sentiment,B_whisper_cascade,1.0
tts50,persuade_fiction,keywords,B_whisper_cascade,0.249906191369606
tts50,persuade_fiction,intent,B_whisper_cascade,1.0
tts50,persuade_fiction,summarization,C_qwen_transcript,0.219
tts50,persuade_fiction,sentiment,C_qwen_transcript,1.0
tts50,persuade_fiction,keywords,C_qwen_transcript,0.26639999999999997
tts50,persuade_fiction,intent,C_qwen_transcript,1.0
tts50,persuade_fiction,summarization,D_qwen_direct,0.264
tts50,persuade_fiction,sentiment,D_qwen_direct,1.0
tts50,persuade_fiction,keywords,D_qwen_direct,0.1429794520547945
tts50,persuade_fiction,intent,D_qwen_direct,1.0
tts50,persuade_language,summarization,A_oracle,0.431
tts50,persuade_language,sentiment,A_oracle,1.0
tts50,persuade_language,keywords,A_oracle,0.42857142857142855
tts50,persuade_language,intent,A_oracle,1.0
tts50,persuade_language,summarization,B_whisper_cascade,0.32
tts50,persuade_language,sentiment,B_whisper_cascade,1.0
tts50,persuade_language,keywords,B_whisper_cascade,0.5331197119711971
tts50,persuade_language,intent,B_whisper_cascade,1.0
tts50,persuade_language,summarization,C_qwen_transcript,0.32
tts50,persuade_language,sentiment,C_qwen_transcript,1.0
tts50,persuade_language,keywords,C_qwen_transcript,0.5331197119711971
tts50,persuade_language,intent,C_qwen_transcript,1.0
tts50,persuade_language,summarization,D_qwen_direct,0.411
tts50,persuade_language,sentiment,D_qwen_direct,1.0
tts50,persuade_language,keywords,D_qwen_direct,0.5715509854327335
tts50,persuade_language,intent,D_qwen_direct,1.0
tts50,persuade_libraries,summarization,A_oracle,0.269
tts50,persuade_libraries,sentiment,A_oracle,1.0
tts50,persuade_libraries,keywords,A_oracle,0.26639999999999997
tts50,persuade_libraries,intent,A_oracle,1.0
tts50,persuade_libraries,summarization,B_whisper_cascade,0.225
tts50,persuade_libraries,sentiment,B_whisper_cascade,1.0
tts50,persuade_libraries,keywords,B_whisper_cascade,0.26639999999999997
tts50,persuade_libraries,intent,B_whisper_cascade,1.0
tts50,persuade_libraries,summarization,C_qwen_transcript,0.265
tts50,persuade_libraries,sentiment,C_qwen_transcript,1.0
tts50,persuade_libraries,keywords,C_qwen_transcript,0.26639999999999997
tts50,persuade_libraries,intent,C_qwen_transcript,1.0
tts50,persuade_libraries,summarization,D_qwen_direct,0.432
tts50,persuade_libraries,sentiment,D_qwen_direct,1.0
tts50,persuade_libraries,keywords,D_qwen_direct,0.28559176672384223
tts50,persuade_libraries,intent,D_qwen_direct,1.0
tts50,persuade_overmedicalize,summarization,A_oracle,0.184
tts50,persuade_overmedicalize,sentiment,A_oracle,1.0
tts50,persuade_overmedicalize,keywords,A_oracle,0.37499999999999994
tts50,persuade_overmedicalize,intent,A_oracle,1.0
tts50,persuade_overmedicalize,summarization,B_whisper_cascade,0.27
tts50,persuade_overmedicalize,sentiment,B_whisper_cascade,1.0
tts50,persuade_overmedicalize,keywords,B_whisper_cascade,0.37499999999999994
tts50,persuade_overmedicalize,intent,B_whisper_cascade,1.0
tts50,persuade_overmedicalize,summarization,C_qwen_transcript,0.282
tts50,persuade_overmedicalize,sentiment,C_qwen_transcript,1.0
tts50,persuade_overmedicalize,keywords,C_qwen_transcript,0.37499999999999994
tts50,persuade_overmedicalize,intent,C_qwen_transcript,1.0
tts50,persuade_overmedicalize,summarization,D_qwen_direct,0.192
tts50,persuade_overmedicalize,sentiment,D_qwen_direct,1.0
tts50,persuade_overmedicalize,keywords,D_qwen_direct,0.5000937207122774
tts50,persuade_overmedicalize,intent,D_qwen_direct,1.0
tts50,persuade_plastic,summarization,A_oracle,0.329
tts50,persuade_plastic,sentiment,A_oracle,1.0
tts50,persuade_plastic,keywords,A_oracle,0.249906191369606
tts50,persuade_plastic,intent,A_oracle,1.0
tts50,persuade_plastic,summarization,B_whisper_cascade,0.286
tts50,persuade_plastic,sentiment,B_whisper_cascade,1.0
tts50,persuade_plastic,keywords,B_whisper_cascade,0.28559176672384223
tts50,persuade_plastic,intent,B_whisper_cascade,1.0
tts50,persuade_plastic,summarization,C_qwen_transcript,0.31
tts50,persuade_plastic,sentiment,C_qwen_transcript,1.0
tts50,persuade_plastic,keywords,C_qwen_transcript,0.249906191369606
tts50,persuade_plastic,intent,C_qwen_transcript,1.0
tts50,persuade_plastic,summarization,D_qwen_direct,0.174
tts50,persuade_plastic,sentiment,D_qwen_direct,1.0
tts50,persuade_plastic,keywords,D_qwen_direct,0.37499999999999994
tts50,persuade_plastic,intent,D_qwen_direct,1.0
tts50,persuade_sleep,summarization,A_oracle,0.484
tts50,persuade_sleep,sentiment,A_oracle,0.0
tts50,persuade_sleep,keywords,A_oracle,0.249906191369606
tts50,persuade_sleep,intent,A_oracle,1.0
tts50,persuade_sleep,summarization,B_whisper_cascade,0.456
tts50,persuade_sleep,sentiment,B_whisper_cascade,1.0
tts50,persuade_sleep,keywords,B_whisper_cascade,0.249906191369606
tts50,persuade_sleep,intent,B_whisper_cascade,1.0
tts50,persuade_sleep,summarization,C_qwen_transcript,0.328
tts50,persuade_sleep,sentiment,C_qwen_transcript,1.0
tts50,persuade_sleep,keywords,C_qwen_transcript,0.249906191369606
tts50,persuade_sleep,intent,C_qwen_transcript,1.0
tts50,persuade_sleep,summarization,D_qwen_direct,0.275
tts50,persuade_sleep,sentiment,D_qwen_direct,0.0
tts50,persuade_sleep,keywords,D_qwen_direct,0.249906191369606
tts50,persuade_sleep,intent,D_qwen_direct,1.0
tts50,persuade_socialmedia,summarization,A_oracle,0.222
tts50,persuade_socialmedia,sentiment,A_oracle,1.0
tts50,persuade_socialmedia,keywords,A_oracle,0.28559176672384223
tts50,persuade_socialmedia,intent,A_oracle,1.0
tts50,persuade_socialmedia,summarization,B_whisper_cascade,0.25
tts50,persuade_socialmedia,sentiment,B_whisper_cascade,1.0
tts50,persuade_socialmedia,keywords,B_whisper_cascade,0.3997599039615847
tts50,persuade_socialmedia,intent,B_whisper_cascade,1.0
tts50,persuade_socialmedia,summarization,C_qwen_transcript,0.265
