pipeline,sample,condition,task,score,valid_json,latency_seconds
qwen,science_space,white_20db,keywords,0.4615384615384615,1.0,2.436
qwen,science_space,white_20db,intent,1.0,1.0,1.092
qwen,science_space,white_10db,summarization,0.5063291139240508,,3.095
qwen,science_space,white_10db,sentiment,1.0,1.0,1.337
qwen,science_space,white_10db,keywords,0.4615384615384615,1.0,2.277
qwen,science_space,white_10db,intent,1.0,1.0,2.106
qwen,science_space,white_0db,summarization,0.5753424657534246,,3.08
qwen,science_space,white_0db,sentiment,1.0,1.0,1.52
qwen,science_space,white_0db,keywords,0.30769230769230765,1.0,2.726
qwen,science_space,white_0db,intent,1.0,1.0,1.912
qwen,tech_ai_healthcare,clean,summarization,0.43076923076923074,,3.132
qwen,tech_ai_healthcare,clean,sentiment,1.0,1.0,0.913
qwen,tech_ai_healthcare,clean,keywords,0.0,1.0,2.834
qwen,tech_ai_healthcare,clean,intent,1.0,1.0,2.103
qwen,tech_ai_healthcare,white_20db,summarization,0.3939393939393939,,3.691
qwen,tech_ai_healthcare,white_20db,sentiment,1.0,1.0,3.085
qwen,tech_ai_healthcare,white_20db,keywords,0.0,1.0,2.982
qwen,tech_ai_healthcare,white_20db,intent,1.0,1.0,3.667
qwen,tech_ai_healthcare,white_10db,summarization,0.3880597014925373,,2.971
qwen,tech_ai_healthcare,white_10db,sentiment,1.0,1.0,0.858
qwen,tech_ai_healthcare,white_10db,keywords,0.0,1.0,2.037
qwen,tech_ai_healthcare,white_10db,intent,1.0,1.0,2.124
qwen,tech_ai_healthcare,white_0db,summarization,0.43076923076923074,,3.379
qwen,tech_ai_healthcare,white_0db,sentiment,1.0,1.0,0.883
qwen,tech_ai_healthcare,white_0db,keywords,0.0,1.0,2.386
qwen,tech_ai_healthcare,white_0db,intent,1.0,1.0,1.319
qwen,tech_blockchain,clean,summarization,0.43478260869565216,,1.899
qwen,tech_blockchain,clean,sentiment,1.0,1.0,1.547
qwen,tech_blockchain,clean,keywords,0.0,1.0,2.028
qwen,tech_blockchain,clean,intent,1.0,1.0,1.574
qwen,tech_blockchain,white_20db,summarization,0.43478260869565216,,2.011
qwen,tech_blockchain,white_20db,sentiment,1.0,1.0,1.653
qwen,tech_blockchain,white_20db,keywords,0.0,1.0,1.529
qwen,tech_blockchain,white_20db,intent,1.0,1.0,1.569
qwen,tech_blockchain,white_10db,summarization,0.43478260869565216,,1.905
qwen,tech_blockchain,white_10db,sentiment,1.0,1.0,1.567
qwen,tech_blockchain,white_10db,keywords,0.0,1.0,1.308
qwen,tech_blockchain,white_10db,intent,1.0,1.0,1.5
qwen,tech_blockchain,white_0db,summarization,0.425531914893617,,1.984
qwen,tech_blockchain,white_0db,sentiment,1.0,1.0,1.497
qwen,tech_blockchain,white_0db,keywords,0.0,1.0,1.698
qwen,tech_blockchain,white_0db,intent,1.0,1.0,1.887
qwen,tech_education,clean,summarization,0.23255813953488372,,2.044
qwen,tech_education,clean,sentiment,0.0,1.0,1.398
qwen,tech_education,clean,keywords,0.30769230769230765,1.0,1.419
qwen,tech_education,clean,intent,1.0,1.0,1.394
qwen,tech_education,white_20db,summarization,0.23255813953488372,,2.085
qwen,tech_education,white_20db,sentiment,0.0,1.0,1.318
qwen,tech_education,white_20db,keywords,0.30769230769230765,1.0,1.303
qwen,tech_education,white_20db,intent,1.0,1.0,1.356
qwen,tech_education,white_10db,summarization,0.23255813953488372,,2.115
qwen,tech_education,white_10db,sentiment,0.0,1.0,1.379
qwen,tech_education,white_10db,keywords,0.30769230769230765,1.0,1.29
qwen,tech_education,white_10db,intent,1.0,1.0,1.29
qwen,tech_education,white_0db,summarization,0.18604651162790697,,1.943
qwen,tech_education,white_0db,sentiment,1.0,1.0,1.377
qwen,tech_education,white_0db,keywords,0.16666666666666666,1.0,1.456
qwen,tech_education,white_0db,intent,1.0,1.0,1.282
qwen,tech_quantum,clean,summarization,0.39999999999999997,,2.651
qwen,tech_quantum,clean,sentiment,1.0,1.0,1.322
qwen,tech_quantum,clean,keywords,0.6666666666666665,1.0,1.317
qwen,tech_quantum,clean,intent,1.0,1.0,1.343
qwen,tech_quantum,white_20db,summarization,0.3548387096774194,,2.932
qwen,tech_quantum,white_20db,sentiment,1.0,1.0,1.385
qwen,tech_quantum,white_20db,keywords,0.6666666666666665,1.0,1.422
qwen,tech_quantum,white_20db,intent,1.0,1.0,3.337
qwen,tech_quantum,white_10db,summarization,0.3548387096774194,,2.731
qwen,tech_quantum,white_10db,sentiment,1.0,1.0,1.317
qwen,tech_quantum,white_10db,keywords,0.6666666666666665,1.0,1.388
qwen,tech_quantum,white_10db,intent,1.0,1.0,1.38
qwen,tech_quantum,white_0db,summarization,0.3934426229508197,,2.825
qwen,tech_quantum,white_0db,sentiment,1.0,1.0,2.295
qwen,tech_quantum,white_0db,keywords,0.6666666666666665,1.0,1.352
qwen,tech_quantum,white_0db,intent,1.0,1.0,1.376
